model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Lada,2013,110000.0,белый,2100.0,механическая,передний,1 владелец,1.6,105.0,бензиновый ,АИ-95 ,13.1,9.0,Россия ,C ,165.0,Euro 0,540000.0,5.625,2200.7999999999997,9166.666666666666
Volvo,2010,176254.0,золотистый,15225.0,роботизированная,передний,3 или более,2.0,203.0,бензиновый ,АИ-95 ,8.9,8.5,Швеция ,D ,205.0,Euro 0,1250000.0,4.25,3613.4,11750.266666666666
Mitsubishi,2011,225500.0,чёрный,8000.0,автоматическая,полный,3 или более,3.2,200.0,дизельный ,ДТ ,11.1,9.3,Япония ,J ,185.0,Euro 0,1849000.0,2.90625,7104.0,16107.142857142857
Mazda,2008,221000.0,красный,2940.0,механическая,передний,3 или более,2.0,147.0,бензиновый ,АИ-95 ,9.9,7.0,Япония ,D ,214.0,Euro 0,749000.0,3.5,2910.6,13000.0
Nissan,2019,45000.0,чёрный,2880.0,вариатор,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,10.1,7.0,Япония ,C ,184.0,Euro 5 ,1749000.0,3.5,2908.7999999999997,7500.0
Hyundai,2011,123000.0,серебристый,2640.0,автоматическая,передний,3 или более,1.6,132.0,бензиновый ,АИ-95 ,11.6,6.7,Южная Корея ,C ,195.0,Euro 0,999000.0,4.1875,2449.92,8785.714285714286
Honda,2018,105500.0,серый,7720.0,вариатор,полный,1 владелец,1.5,193.0,бензиновый ,АИ-95 ,10.0,7.1,Япония ,C ,200.0,Euro 6 ,2550000.0,4.733333333333333,2895.0,15071.42857142857
Kia,2010,158000.0,белый,2440.0,механическая,передний,1 владелец,1.6,122.0,бензиновый ,АИ-95 ,11.0,6.2,Южная Корея ,C ,192.0,Euro 0,810000.0,3.875,2147.2000000000003,10533.333333333334
Kia,2019,180961.0,серый,2800.0,роботизированная,передний,1 владелец,1.4,140.0,бензиновый ,АИ-95 ,9.4,6.1,Южная Корея ,C ,205.0,Euro 5 ,1750000.0,4.357142857142857,1842.4,30160.166666666668
Mazda,2019,53000.0,белый,17325.0,автоматическая,полный,2 владельца,2.5,231.0,бензиновый ,АИ-95 ,8.6,9.2,Япония ,E ,210.0,Euro 0,3399000.0,3.6799999999999997,4966.5,8833.333333333334
