model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price,fuel utilization efficiency,engine optimality,intensity of use
Mercedes-Benz,2019,98500.0,чёрный,55050.0,автоматическая,полный,1 владелец,3.0,367.0,бензиновый ,АИ-95 ,6.2,9.4,Германия ,F ,246.0,Euro 6 ,9299000.0,3.1333333333333333,6826.2,16416.666666666668
Mercedes-Benz,2018,51400.0,чёрный,4760.0,автоматическая,задний,2 владельца,2.1,136.0,дизельный ,ДТ ,12.8,5.8,Германия ,M ,181.0,Euro 5 ,12800000.0,2.761904761904762,3655.6800000000003,7342.857142857143
Mercedes-Benz,2020,23500.0,чёрный,18675.0,автоматическая,полный,1 владелец,2.9,249.0,дизельный ,ДТ ,7.4,9.8,Германия ,J ,199.0,Euro 6 ,17499000.0,3.3793103448275867,5343.540000000001,4700.0
BMW,2021,50300.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-95 ,5.5,8.6,Германия ,E ,250.0,Euro 6 ,9990000.0,2.8666666666666667,5610.0,12575.0
BMW,2022,6152.0,серый,51000.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,4.6,5.1,Германия ,E ,250.0,Euro 6 ,9900000.0,1.7,4692.0,2050.6666666666665
Infiniti,2014,92495.0,белый,13715.0,автоматическая,задний,3 или более,2.0,211.0,бензиновый ,АИ-95 ,7.3,7.0,Япония ,D ,245.0,Euro 0,1569000.0,3.5,3080.6,8408.636363636364
Porsche,2019,50215.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-98 ,6.2,9.2,Германия ,E ,245.0,Euro 6 ,7500000.0,3.0666666666666664,6324.0,8369.166666666666
Porsche,2023,8004.0,серый,52950.0,автоматическая,полный,1 владелец,3.0,353.0,бензиновый ,АИ-98 ,6.0,10.8,Германия ,E ,248.0,Euro 6 ,19900000.0,3.6,6354.0,4002.0
Mercedes-Benz,2021,51000.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,21500000.0,3.1428571428571423,3630.8999999999996,12750.0
LiXiang,2023,8.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.8,Китай ,F ,180.0,Euro 0,9959000.0,5.2,3569.5499999999997,4.0
BMW,2023,30.0,синий,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.7,12.9,Германия ,F ,250.0,Euro 6 ,21900000.0,2.9318181818181817,10960.4,15.0
Mercedes-Benz,2022,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,29800000.0,3.6,4029.0,16.666666666666668
BMW,2021,46669.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.0,190.0,дизельный ,ДТ ,7.2,4.5,Германия ,E ,232.0,Euro 6 ,5990000.0,2.25,2736.0,11667.25
Chery,2020,58000.0,белый,5145.0,вариатор,передний,1 владелец,1.5,147.0,бензиновый ,АИ-92 ,9.8,8.2,Китай ,C ,186.0,Euro 6 ,2079900.0,5.466666666666666,2160.9,11600.0
Chery,2021,70267.0,синий,9300.0,роботизированная,передний,1 владелец,1.6,186.0,бензиновый ,АИ-92 ,8.9,7.0,Китай ,D ,185.0,Euro 5 ,2189000.0,4.375,2648.6400000000003,17566.75
Maserati,2007,98000.0,чёрный,60000.0,автоматическая,задний,3 или более,4.2,400.0,бензиновый ,АИ-98 ,5.6,14.7,Италия ,F ,270.0,Euro 0,1290000.0,3.4999999999999996,9408.0,5444.444444444444
Voyah,2023,1.0,чёрный,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,4990000.0,0.54,3528.0,0.5
BMW,2019,82300.0,синий,18675.0,автоматическая,полный,2 владельца,3.0,249.0,дизельный ,ДТ ,6.5,6.8,Германия ,E ,230.0,Euro 6 ,6765000.0,2.2666666666666666,4855.5,13716.666666666666
Volvo,2020,52427.0,синий,17625.0,автоматическая,полный,2 владельца,2.0,235.0,дизельный ,ДТ ,7.8,5.8,Швеция ,E ,220.0,Euro 6 ,6690000.0,2.9,3666.0,10485.4
Voyah,2024,1.0,золотистый,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,5190000.0,0.54,3528.0,1.0
Hyundai,2009,131591.0,синий,13845.0,автоматическая,задний,3 или более,2.0,213.0,бензиновый ,АИ-95 ,8.2,9.2,Южная Корея ,D ,223.0,Euro 0,999999.0,4.6,3493.2,8224.4375
LiXiang,2023,6.0,зелёный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.8,Китай ,F ,180.0,Euro 0,9399900.0,5.2,3569.5499999999997,3.0
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,44950000.0,3.6,4029.0,25.0
BMW,2023,43.0,чёрный,42900.0,автоматическая,полный,1 владелец,3.0,286.0,дизельный ,ДТ ,6.1,7.9,Германия ,E ,233.0,Euro 6 ,15500000.0,2.6333333333333333,5233.799999999999,21.5
Mercedes-Benz,2023,39.0,серебристый,263250.0,автоматическая,полный,1 владелец,4.0,585.0,бензиновый ,АИ-98 ,4.5,13.3,Германия ,J ,220.0,Euro 6 ,32900000.0,3.325,10530.0,19.5
Porsche,2023,20.0,серый,52950.0,роботизированная,полный,1 владелец,2.9,353.0,бензиновый ,АИ-98 ,5.0,11.2,Германия ,F ,270.0,Euro 6 ,23200000.0,3.862068965517241,5118.5,10.0
Volkswagen,2020,83000.0,белый,2750.0,автоматическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,11.8,6.6,Германия ,B ,190.0,Euro 5 ,1335000.0,4.124999999999999,2076.8,16600.0
Suzuki,2011,169000.0,серый,2800.0,механическая,полный,2 владельца,1.6,112.0,бензиновый ,АИ-95 ,11.5,6.8,Япония ,B ,175.0,Euro 4 ,760000.0,4.25,2060.8,12071.42857142857
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,44950000.0,3.6,4029.0,25.0
Mini,2020,11000.0,синий,9600.0,автоматическая,полный,1 владелец,2.0,192.0,бензиновый ,АИ-95 ,7.2,7.3,Великобритания ,B ,222.0,Euro 6 ,3975000.0,3.65,2764.8,2200.0
BMW,2023,43.0,чёрный,42900.0,автоматическая,полный,1 владелец,3.0,286.0,дизельный ,ДТ ,6.1,7.9,Германия ,E ,233.0,Euro 6 ,15500000.0,2.6333333333333333,5233.799999999999,21.5
Nissan,2011,251000.0,серый,4935.0,вариатор,полный,2 владельца,2.0,141.0,бензиновый ,АИ-95 ,11.7,8.2,Япония ,C ,180.0,Euro 0,1150000.0,4.1,3299.3999999999996,17928.571428571428
BMW,2021,27000.0,серый,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.3,10.7,Германия ,E ,250.0,Euro 6 ,8200000.0,2.4318181818181817,10027.6,6750.0
Mercedes-Benz,2023,39.0,серебристый,263250.0,автоматическая,полный,1 владелец,4.0,585.0,бензиновый ,АИ-98 ,4.5,13.3,Германия ,J ,220.0,Euro 6 ,32900000.0,3.325,10530.0,19.5
Porsche,2023,20.0,серый,52950.0,роботизированная,полный,1 владелец,2.9,353.0,бензиновый ,АИ-98 ,5.0,11.2,Германия ,F ,270.0,Euro 6 ,23200000.0,3.862068965517241,5118.5,10.0
Volkswagen,2020,83000.0,белый,2750.0,автоматическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,11.8,6.6,Германия ,B ,190.0,Euro 5 ,1335000.0,4.124999999999999,2076.8,16600.0
Suzuki,2011,169000.0,серый,2800.0,механическая,полный,2 владельца,1.6,112.0,бензиновый ,АИ-95 ,11.5,6.8,Япония ,B ,175.0,Euro 4 ,760000.0,4.25,2060.8,12071.42857142857
Mercedes-Benz,2022,9772.0,чёрный,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,5.4,6.9,Германия ,F ,250.0,Euro 6 ,14700000.0,2.3793103448275863,5167.8,3257.3333333333335
Geely,2021,4480.0,серый,5250.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-92 ,8.4,6.4,Китай ,B ,190.0,Euro 5 ,2029000.0,4.266666666666667,1890.0,1120.0
Haval,2021,63845.0,чёрный,5250.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-95 ,11.0,8.2,Китай ,C ,180.0,Euro 5 ,1920000.0,5.466666666666666,2475.0,15961.25
Mitsubishi,2012,200000.0,белый,2925.0,автоматическая,передний,1 владелец,1.6,117.0,бензиновый ,АИ-95 ,14.1,7.1,Япония ,C ,180.0,Euro 4 ,680000.0,4.437499999999999,2639.52,15384.615384615385
Mercedes-Benz,2021,6800.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,39000000.0,3.1428571428571423,3630.8999999999996,1700.0
Land,2019,40000.0,серебристый,18675.0,автоматическая,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,7.5,7.9,Великобритания ,C ,230.0,Euro 6 ,4240000.0,3.95,3735.0,6666.666666666667
BMW,2019,78659.0,белый,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-95 ,6.1,9.5,Германия ,F ,245.0,Euro 6 ,8099000.0,3.1666666666666665,6222.0,13109.833333333334
Genesis,2021,107629.0,зелёный,18675.0,автоматическая,полный,1 владелец,2.5,249.0,бензиновый ,АИ-95 ,7.5,10.4,Южная Корея ,E ,224.0,Euro 5 ,4990000.0,4.16,4668.75,26907.25
Kia,2018,95000.0,белый,4480.0,механическая,передний,2 владельца,1.6,128.0,бензиновый ,АИ-92 ,10.5,6.8,Южная Корея ,C ,195.0,Euro 6 ,1360000.0,4.25,2150.4,13571.42857142857
Voyah,2023,1.0,зелёный,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,4990000.0,0.54,3528.0,0.5
Kia,2016,119000.0,серый,4725.0,роботизированная,передний,3 или более,1.6,135.0,бензиновый ,АИ-95 ,10.8,5.9,Южная Корея ,C ,195.0,Euro 6 ,1290000.0,3.6875,2332.8,13222.222222222223
Toyota,2008,293943.0,серебристый,7515.0,автоматическая,передний,3 или более,2.4,167.0,бензиновый ,АИ-95 ,9.3,9.9,Япония ,E ,205.0,Euro 0,800000.0,4.125,3727.4400000000005,17290.764705882353
Land,2023,18461.0,серый,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.6,11.8,Великобритания ,J ,250.0,Euro 6 ,23685000.0,2.6818181818181817,10727.199999999999,9230.5
Toyota,2021,83000.0,чёрный,44850.0,автоматическая,полный,2 владельца,3.4,299.0,дизельный ,ДТ ,6.8,8.9,Япония ,J ,210.0,Euro 6 ,10490000.0,2.6176470588235294,6912.88,20750.0
BMW,2022,82833.0,серый,51000.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,6.1,6.6,Германия ,F ,245.0,Euro 6 ,9600000.0,2.1999999999999997,6222.0,27611.0
BMW,2023,8765.0,чёрный,52800.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,5.9,8.6,Германия ,F ,245.0,Euro 6 ,15900000.0,2.8666666666666667,6018.0,4382.5
EXEED,2022,3033.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3799000.0,4.75,4233.0,1011.0
Chery,2021,62062.0,белый,7650.0,вариатор,передний,1 владелец,2.0,170.0,бензиновый ,АИ-92 ,10.0,8.2,Китай ,D ,200.0,Euro 6 ,2024000.0,4.1,3400.0,15515.5
EXEED,2022,11000.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3623000.0,4.75,4233.0,3666.6666666666665
Chery,2021,62062.0,белый,7650.0,вариатор,передний,1 владелец,2.0,170.0,бензиновый ,АИ-92 ,10.0,8.2,Китай ,D ,200.0,Euro 6 ,2024000.0,4.1,3400.0,15515.5
EXEED,2022,11000.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3623000.0,4.75,4233.0,3666.6666666666665
Volvo,2021,95833.0,коричневый,9500.0,автоматическая,передний,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,8.2,6.7,Швеция ,E ,180.0,Euro 6 ,3600000.0,3.35,3115.9999999999995,23958.25
BMW,2020,56556.0,чёрный,60000.0,автоматическая,полный,2 владельца,3.0,400.0,дизельный ,ДТ ,5.4,7.5,Германия ,F ,250.0,Euro 6 ,11000000.0,2.5,6480.0,11311.2
Ford,2012,307000.0,чёрный,5075.0,механическая,передний,3 или более,2.0,145.0,бензиновый ,АИ-95 ,9.9,7.9,США ,D ,210.0,Euro 5 ,559000.0,3.95,2871.0,23615.384615384617
Skoda,2018,91000.0,белый,2750.0,автоматическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,12.2,6.7,Чехия ,C ,188.0,Euro 5 ,1555000.0,4.1875,2147.2,13000.0
Mazda,2023,7300.0,белый,7110.0,автоматическая,передний,2 владельца,2.0,158.0,бензиновый ,АИ-95 ,10.5,6.3,Япония ,C ,192.0,Euro 0,3099900.0,3.15,3318.0,3650.0
Lada,2021,45000.0,белый,2650.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,12.6,7.5,Россия ,B ,178.0,Euro 5 ,1220000.0,4.6875,2136.96,11250.0
LiXiang,2023,23.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,6900000.0,5.066666666666666,3569.5499999999997,11.5
Chevrolet,2013,222000.0,чёрный,4935.0,механическая,передний,1 владелец,1.8,141.0,бензиновый ,АИ-95 ,10.0,6.8,США ,C ,200.0,Euro 5 ,800000.0,3.7777777777777777,2538.0,18500.0
Geely,2021,55000.0,чёрный,5215.0,автоматическая,полный,1 владелец,2.4,149.0,бензиновый ,АИ-95 ,13.1,11.5,Китай ,C ,185.0,Euro 0,1549000.0,4.791666666666667,4684.5599999999995,13750.0
EXEED,2022,20420.0,чёрный,9850.0,роботизированная,полный,1 владелец,2.0,197.0,бензиновый ,АИ-95 ,9.0,8.7,Китай ,D ,200.0,Euro 6 ,3049000.0,4.35,3546.0,6806.666666666667
Haval,2020,39600.0,серый,5250.0,роботизированная,полный,1 владелец,1.5,150.0,бензиновый ,АИ-95 ,9.0,8.4,Китай ,C ,180.0,Euro 5 ,2050000.0,5.6000000000000005,2025.0,7920.0
Volkswagen,2018,165000.0,чёрный,2750.0,механическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,10.4,5.8,Германия ,B ,191.0,Euro 5 ,1045000.0,3.6249999999999996,1830.4,23571.428571428572
Toyota,2023,8021.0,чёрный,44850.0,автоматическая,полный,1 владелец,3.4,299.0,дизельный ,ДТ ,6.8,8.9,Япония ,J ,210.0,Euro 6 ,12000000.0,2.6176470588235294,6912.88,4010.5
Chevrolet,2016,187000.0,серый,61350.0,автоматическая,полный,3 или более,6.2,409.0,бензиновый ,АИ-95 ,6.8,13.4,США ,J ,180.0,Euro 0,3450000.0,2.161290322580645,17243.440000000002,20777.777777777777
Nissan,2019,98109.0,синий,5040.0,вариатор,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,11.7,7.1,Япония ,D ,183.0,Euro 6 ,1935000.0,3.55,3369.6,16351.5
Mercedes-Benz,2021,73000.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,16500000.0,3.1428571428571423,3630.8999999999996,18250.0
Hyundai,2021,33955.0,чёрный,9300.0,автоматическая,полный,1 владелец,2.0,186.0,дизельный ,ДТ ,9.4,6.3,Южная Корея ,C ,201.0,Euro 5 ,3690000.0,3.15,3496.8,8488.75
Isuzu,2000,178000.0,зелёный,13975.0,автоматическая,полный,3 или более,3.5,215.0,бензиновый ,АИ-95 ,9.6,16.3,Япония ,J ,180.0,Euro 0,650000.0,4.6571428571428575,7224.0,7120.0
Mercedes-Benz,2016,122618.0,чёрный,9500.0,автоматическая,полный,3 или более,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,11990000.0,3.1428571428571423,3630.8999999999996,13624.222222222223
Haval,2020,33872.0,серый,5250.0,роботизированная,передний,3 или более,1.5,150.0,бензиновый ,АИ-95 ,11.0,8.2,Китай ,C ,180.0,Euro 5 ,1778000.0,5.466666666666666,2475.0,6774.4
Mercedes-Benz,2007,281458.0,чёрный,14560.0,автоматическая,полный,3 или более,3.0,224.0,дизельный ,ДТ ,9.5,9.8,Германия ,F ,210.0,Euro 5 ,1300000.0,3.266666666666667,6384.0,15636.555555555555
Nissan,2011,307000.0,серый,4935.0,вариатор,полный,2 владельца,2.0,141.0,бензиновый ,АИ-95 ,11.7,8.2,Япония ,C ,180.0,Euro 0,1290000.0,4.1,3299.3999999999996,21928.571428571428
Porsche,2013,223200.0,синий,18375.0,автоматическая,полный,2 владельца,3.0,245.0,дизельный ,ДТ ,7.6,7.2,Германия ,E ,220.0,Euro 5 ,2550000.0,2.4,5586.0,18600.0
Chevrolet,2022,55.0,белый,7425.0,вариатор,передний,1 владелец,1.3,165.0,бензиновый ,АИ-92 ,8.9,5.7,США ,B ,190.0,Euro 0,2200000.0,4.384615384615385,1909.0500000000002,18.333333333333332
Renault,2017,123200.0,белый,5005.0,механическая,полный,1 владелец,2.0,143.0,бензиновый ,АИ-95 ,10.3,7.8,Франция ,B ,180.0,Euro 5 ,1315000.0,3.9,2945.8,15400.0
Chevrolet,2013,222000.0,чёрный,4935.0,механическая,передний,1 владелец,1.8,141.0,бензиновый ,АИ-95 ,10.0,6.8,США ,C ,200.0,Euro 5 ,800000.0,3.7777777777777777,2538.0,18500.0
Chevrolet,2022,55.0,белый,7425.0,вариатор,передний,1 владелец,1.3,165.0,бензиновый ,АИ-92 ,8.9,5.7,США ,B ,190.0,Euro 0,2200000.0,4.384615384615385,1909.0500000000002,18.333333333333332
LiXiang,2024,10.0,белый,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,7000000.0,5.066666666666666,3569.5499999999997,10.0
Porsche,2015,155000.0,чёрный,18375.0,роботизированная,полный,2 владельца,3.0,245.0,дизельный ,ДТ ,6.3,6.3,Германия ,D ,230.0,Euro 6 ,4000000.0,2.1,4630.5,15500.0
Mitsubishi,2019,53106.0,серый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2742000.0,3.85,3504.0,8851.0
Mitsubishi,2015,49900.0,белый,5110.0,вариатор,передний,2 владельца,2.0,146.0,бензиновый ,АИ-92 ,11.1,7.3,Япония ,D ,193.0,Euro 4 ,1540000.0,3.65,3241.2,4990.0
Hyundai,2019,65000.0,чёрный,3025.0,автоматическая,полный,1 владелец,1.6,121.0,бензиновый ,АИ-95 ,13.1,7.6,Южная Корея ,B ,167.0,Euro 6 ,1800000.0,4.749999999999999,2536.1600000000003,10833.333333333334
Mercedes-Benz,2010,192000.0,белый,7650.0,автоматическая,полный,3 или более,2.1,170.0,дизельный ,ДТ ,8.8,6.9,Германия ,D ,205.0,Euro 5 ,1550000.0,3.2857142857142856,3141.6000000000004,12800.0
BMW,2020,29800.0,белый,58050.0,автоматическая,полный,1 владелец,3.0,387.0,бензиновый ,АИ-95 ,4.5,7.1,Германия ,D ,250.0,Euro 6 ,5740000.0,2.3666666666666667,5224.5,5960.0
Mitsubishi,2012,193500.0,чёрный,7515.0,вариатор,полный,3 или более,2.4,167.0,бензиновый ,АИ-92 ,10.5,7.9,Япония ,D ,195.0,Euro 4 ,1199000.0,3.291666666666667,4208.400000000001,14884.615384615385
Mitsubishi,2012,165185.0,коричневый,4998.0,вариатор,передний,1 владелец,2.0,147.0,бензиновый ,АИ-95 ,12.2,8.0,Япония ,D ,180.0,Euro 4 ,1350000.0,4.0,3586.7999999999997,12706.538461538461
Mitsubishi,2016,47649.0,серебристый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,11.7,7.6,Япония ,D ,188.0,Euro 4 ,2079000.0,3.8,3416.3999999999996,5294.333333333333
Mitsubishi,2016,79027.0,серый,7515.0,вариатор,полный,1 владелец,2.4,167.0,бензиновый ,АИ-92 ,10.2,7.7,Япония ,D ,198.0,Euro 4 ,2250000.0,3.2083333333333335,4088.16,8780.777777777777
Ford,2017,256385.0,белый,2625.0,механическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,12.5,6.0,США ,C ,180.0,Euro 5 ,650000.0,3.75,2100.0,32048.125
Mitsubishi,2021,38170.0,чёрный,4964.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,3100000.0,3.85,3504.0,9542.5
Mitsubishi,2013,202281.0,чёрный,7515.0,вариатор,полный,1 владелец,2.4,167.0,бензиновый ,АИ-92 ,10.5,7.9,Япония ,D ,195.0,Euro 4 ,1480000.0,3.291666666666667,4208.400000000001,16856.75
BMW,2021,68200.0,синий,18675.0,автоматическая,полный,3 или более,3.0,249.0,дизельный ,ДТ ,6.5,6.6,Германия ,E ,230.0,Euro 6 ,9600000.0,2.1999999999999997,4855.5,17050.0
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.6,6.5,Германия ,M ,214.0,Euro 6 ,44600000.0,3.25,4076.3999999999996,25.0
Toyota,2007,196000.0,чёрный,6840.0,автоматическая,полный,3 или более,2.0,152.0,бензиновый ,АИ-95 ,12.0,8.6,Япония ,C ,175.0,Euro 0,1100000.0,4.3,3648.0,10888.888888888889
Volkswagen,2010,91000.0,чёрный,7650.0,автоматическая,полный,2 владельца,2.0,170.0,бензиновый ,АИ-95 ,9.9,9.9,Германия ,C ,197.0,Euro 0,1300000.0,4.95,3366.0,6066.666666666667
Mitsubishi,2019,53337.0,коричневый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2500000.0,3.85,3504.0,8889.5
BMW,2019,98800.0,голубой,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,6.7,6.0,Германия ,E ,230.0,Euro 6 ,5700000.0,2.0,5004.900000000001,16466.666666666668
Land,2021,26492.0,зелёный,84750.0,автоматическая,полный,1 владелец,5.0,565.0,бензиновый ,АИ-95 ,5.4,12.8,Великобритания ,J ,225.0,Euro 6 ,26316000.0,2.56,15255.000000000002,6623.0
Volvo,2006,314000.0,чёрный,17850.0,автоматическая,полный,3 или более,3.2,238.0,бензиновый ,АИ-95 ,8.2,10.7,Швеция ,E ,235.0,Euro 0,749000.0,3.3437499999999996,6245.12,16526.315789473683
Chevrolet,2007,85000.0,красный,960.0,механическая,полный,1 владелец,1.7,80.0,бензиновый ,АИ-95 ,19.0,10.8,США ,J ,140.0,Euro 0,440000.0,6.352941176470589,2584.0,4722.222222222223
Volvo,2020,9700.0,синий,18675.0,автоматическая,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,6.8,7.2,Швеция ,D ,220.0,Euro 6 ,4380000.0,3.6,3386.4,1940.0
Ford,2005,110000.0,белый,1080.0,механическая,передний,3 или более,1.8,90.0,дизельный ,ДТ ,15.2,6.5,США ,M ,155.0,Euro 0,499999.0,3.611111111111111,2462.4,5500.0
Mitsubishi,2019,53337.0,коричневый,5110.0,вариатор,полный,1 владелец,2.0,146.0,бензиновый ,АИ-92 ,12.0,7.7,Япония ,D ,188.0,Euro 5 ,2500000.0,3.85,3504.0,8889.5
Nissan,2015,150000.0,чёрный,5040.0,вариатор,полный,2 владельца,2.0,144.0,бензиновый ,АИ-95 ,12.1,7.5,Япония ,D ,180.0,Euro 5 ,1000000.0,3.75,3484.7999999999997,15000.0
BMW,2019,98800.0,голубой,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,6.7,6.0,Германия ,E ,230.0,Euro 6 ,5700000.0,2.0,5004.900000000001,16466.666666666668
Land,2021,26492.0,зелёный,84750.0,автоматическая,полный,1 владелец,5.0,565.0,бензиновый ,АИ-95 ,5.4,12.8,Великобритания ,J ,225.0,Euro 6 ,26316000.0,2.56,15255.000000000002,6623.0
Kia,2018,80000.0,чёрный,9250.0,автоматическая,полный,1 владелец,2.0,185.0,дизельный ,ДТ ,9.5,6.3,Южная Корея ,C ,201.0,Euro 6 ,1999000.0,3.15,3515.0,11428.57142857143
Kia,2019,56298.0,синий,5250.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.2,8.0,Южная Корея ,B ,186.0,Euro 5 ,1960000.0,4.0,3060.0,9383.0
BMW,2020,22748.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,дизельный ,ДТ ,5.5,6.2,Германия ,E ,245.0,Euro 6 ,10700000.0,2.066666666666667,5610.0,4549.6
Geely,2022,1264.0,серый,17850.0,автоматическая,полный,1 владелец,2.0,238.0,бензиновый ,АИ-95 ,6.9,8.1,Китай ,C ,210.0,Euro 5 ,3795000.0,4.05,3284.4,421.3333333333333
Mazda,2007,110000.0,чёрный,2625.0,автоматическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,12.6,7.6,Япония ,C ,174.0,Euro 0,570000.0,4.749999999999999,2116.7999999999997,6111.111111111111
Mitsubishi,2013,149500.0,чёрный,5250.0,вариатор,полный,2 владельца,2.0,150.0,бензиновый ,АИ-92 ,11.9,8.1,Япония ,C ,188.0,Euro 4 ,1410600.0,4.05,3570.0,12458.333333333334
Audi,2013,105600.0,белый,3050.0,роботизированная,передний,1 владелец,1.4,122.0,бензиновый ,АИ-95 ,9.3,5.0,Германия ,C ,203.0,Euro 5 ,1299900.0,3.5714285714285716,1588.44,8800.0
Kia,2021,61191.0,серый,3075.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.6,6.8,Южная Корея ,B ,182.0,Euro 5 ,1702000.0,4.25,2282.88,15297.75
BMW,2014,191500.0,чёрный,9500.0,автоматическая,задний,3 или более,2.0,190.0,дизельный ,ДТ ,7.7,4.1,Германия ,E ,233.0,Euro 6 ,1889000.0,2.05,2926.0,17409.090909090908
Nissan,2020,29000.0,серый,5040.0,механическая,передний,1 владелец,2.0,144.0,бензиновый ,АИ-95 ,9.9,7.7,Япония ,C ,194.0,Euro 5 ,2400000.0,3.85,2851.2000000000003,5800.0
Lada,2021,97850.0,серый,1080.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-92 ,14.0,7.5,Россия ,C ,160.0,Euro 5 ,1265000.0,4.6875,2016.0,24462.5
